ID_CIDADE;NOME_CIDADE;UF;POPULACAO_TOTAL;PERC_POPULACAO_URBANA;PERC_POPULACAO_RURAL;PERC_POPULACAO_MASCULINA;PERC_POPULACAO_FEMININA;QTD_ANALFABETO_MAIS_15ANOS;TAXA_ANALFABETO_MAIS_15;QTD_DOMICILIOS;QTD_DOMICILIOS_RESP_HOMEM;QTD_DOMICILIOS_RESP_MULHER;PERC_DOMICILIOS_SANEAMENTO_ADEQUADO;PERC_DOMICILIOS_SANEAMENTO_SEMI_ADEQUADO;PERC_DOMICILIOS_SANEAMENTO_SEMI_INADEQUADO;MEDIA_REND_DOMICILIAR_PERCAPITA_NOM;MEDIA_REND_NOMINAL_HOMENS;MEDIA_REND_NOMINAL_MULHERES;MEDIANA_REND_NOMINAL_HOMENS;MEDIANA_REND_NOMINAL_MULHERES
4318440;São Jorge;RS;2774;52,3;47,7;49,7;50,3;88;3,8;907;741;167;51,8;48,2;0;778,27;1413,41;803,64;1000;510
4318457;São José das Missões;RS;2720;30,4;69,6;50,6;49,4;201;9,4;903;694;209;2,2;97,7;0,1;429,81;758,16;602,29;510;510
4318465;São José do Herval;RS;2204;39,3;60,7;51,5;48,5;273;16,3;709;504;208;4,4;94,6;1;526,2;1030,23;666,76;600;510
4318481;São José do Hortêncio;RS;4094;64,6;35,4;51;49;46;1,4;1352;952;401;83,8;16,2;0;638,35;963,73;742,49;800;600
4318499;São José do Inhacorá;RS;2200;37,8;62,2;51,1;48,9;50;2,7;750;599;156;66,8;33,2;0;666,41;930,14;772,45;700;540
4318507;São José do Norte;RS;25503;68,2;31,8;51;49;3481;17,3;8795;5580;3245;45,5;53,7;0,8;407,91;731,38;591,81;510;510
4318606;São José do Ouro;RS;6904;64,1;35,9;49;51;339;6;2320;1603;718;49,4;50,3;0,3;696,67;1377,34;774,74;800;510
4318614;São José do Sul;RS;2082;34,6;65,4;50,5;49,5;41;2,4;699;557;143;53,6;46,4;0;847,63;1320,55;951,63;935;700
4318622;São José dos Ausentes;RS;3290;62,7;37,3;51,5;48,5;177;7,1;1095;719;379;35,2;64,1;0,7;440,06;939,46;691,48;550;510
4318705;São Leopoldo;RS;214087;99,6;0,4;48,7;51,3;5262;3,2;71208;41329;29924;91,7;8,3;0;788,95;1528,78;1071,15;1000;700
4318804;São Lourenço do Sul;RS;43111;56,2;43,8;50,2;49,8;1758;5;13375;9139;4262;49,7;47,3;3;596,52;1056,42;808,84;590;510
4318903;São Luiz Gonzaga;RS;34556;88,3;11,7;48,7;51,3;1825;6,7;11858;7087;4801;56,2;43,6;0,1;642,34;1225,2;863,24;700;510
4319000;São Marcos;RS;20103;87,5;12,5;49;51;635;3,9;6701;4837;1866;78,8;21,2;0;806,72;1427,75;946,63;1000;700
4319109;São Martinho;RS;5773;59,6;40,4;49,2;50,8;294;6,2;2059;1421;648;14,2;85,6;0,1;728,67;1214,9;844,03;650;510
4319125;São Martinho da Serra;RS;3201;29,4;70,6;51,5;48,5;250;9,6;1123;801;322;0,9;97;2,1;457,44;827,18;674,19;510;510
4319158;São Miguel das Missões;RS;7421;50,2;49,8;52,3;47,7;524;9,1;2520;1895;626;13,6;86;0,4;510,75;983,52;701,23;510;510
4319208;São Nicolau;RS;5727;64,5;35,5;50,7;49,3;568;12,9;2006;1239;775;15,6;84,2;0,1;399,39;722,36;584,28;510;510
4319307;São Paulo das Missões;RS;6364;34,6;65,4;50,7;49,3;323;6,2;2043;1684;377;10,6;89;0,4;477,88;744,3;588,64;510;510
4319356;São Pedro da Serra;RS;3315;43,1;56,9;50,8;49,2;52;2;1054;621;435;48,7;51,2;0,1;713,51;1118,43;879,46;840;600
4319364;São Pedro das Missões;RS;1886;28,2;71,8;49,4;50,6;206;14,1;611;506;105;7,9;92,1;0;402,43;835,58;558,56;510;510
4319372;São Pedro do Butiá;RS;2873;42,1;57,9;50,7;49,3;55;2,3;946;678;268;29,1;70,9;0;810,36;1334,33;899,32;800;510
4319406;São Pedro do Sul;RS;16368;72,9;27,1;49,2;50,8;774;5,8;5846;3489;2367;45,8;54;0,2;538,87;953,48;764,61;510;510
4319505;São Sebastião do Caí;RS;21932;80,3;19,7;49;51;609;3,5;7399;4536;2888;63,4;36,5;0;699,51;1227,43;910,48;800;615
4319604;São Sepé;RS;23798;79,1;20,9;49,5;50,5;1433;7,5;8367;5505;2874;67,8;31,8;0,3;563,33;1055,95;768,25;571;510
4319703;São Valentim;RS;3632;48;52;49,9;50,1;281;9,4;1200;877;325;27,5;70,5;2;652,02;1111,83;757,01;600;510
4319711;São Valentim do Sul;RS;2168;34,4;65,6;51,3;48,7;79;4,2;740;510;231;17,7;82,2;0,1;911,1;1612,31;894,46;1000;600
4319737;São Valério do Sul;RS;2647;19,3;80,7;51,9;48,1;259;13,7;735;600;136;7,2;92,5;0,3;462,33;1085,66;711,35;510;510
4319752;São Vendelino;RS;1944;69,6;30,4;51,1;48,9;19;1,2;636;484;153;79,1;20,8;0,2;787,11;1204,82;852,81;1000;670
4319802;São Vicente do Sul;RS;8440;69,7;30,3;49,8;50,2;496;7,5;2841;1776;1066;55,9;44;0,1;553,5;1084,01;732,65;512;510
4319901;Sapiranga;RS;74985;96,4;3,6;49,3;50,7;2233;3,9;24487;14166;10340;56,9;43,1;0;624,85;1117,7;805,3;800;600
4320008;Sapucaia do Sul;RS;130957;99,6;0,4;48,7;51,3;3361;3,3;42735;25073;17707;82,5;17,5;0;617,2;1277,98;844,69;1000;600
4320107;Sarandi;RS;21285;84,3;15,7;48,2;51,8;854;5;6958;3713;3270;72;28;0;789,82;1458,1;861,72;800;570,5
4320206;Seberi;RS;10897;54,4;45,6;49,1;50,9;687;8;3686;2477;1223;10,3;89,3;0,3;521,94;949,59;688,65;510;510
4320230;Sede Nova;RS;3011;52,5;47,5;50,8;49,2;206;8,7;1022;687;340;11,6;88,3;0,1;591,43;1102,06;839,84;600;510
4320263;Segredo;RS;7158;25,2;74,8;51,7;48,3;539;9,8;2223;1854;376;4,4;91,4;4,3;454,58;894,87;666,63;510;510
4320305;Selbach;RS;4929;70;30;48,8;51,2;151;3,7;1658;1109;550;26,1;73,9;0;966,98;1621,31;1099,98;1000;631
4320321;Senador Salgado Filho;RS;2814;31,3;68,7;50;50;138;6;946;718;229;19;80,7;0,3;514,37;1094,14;689,48;600;510
4320354;Sentinela do Sul;RS;5198;24,7;75,3;51,3;48,7;309;7,6;1807;1181;631;9;90;0,9;433,71;769,53;650,65;510;510
4320404;Serafina Corrêa;RS;14253;84,6;15,4;49,8;50,2;361;3,2;4541;3366;1175;56,6;43,4;0;789,56;1310,74;893,01;1000;700
